source	sign	target	edge_value
AKT1	-1	RAF1	-1.0
AKT3	-1	FOXO4	-0.9999999999999996
APEX1	1	HHEX	1.0
APEX1	1	MNT	1.0
AR	1	JUN	1.0
AR	1	PRKD1	1.0
AR	1	UBE2I	1.0
CDK1	1	CHEK1	-1.0000000000000002
CDK1	1	FOXK2	-1.0
CDK1	1	HIF1A	-1.0
CDK1	-1	MAP2K1	1.0
CDK1	1	TP53	-1.0
CDKN1A	-1	CDK3	-1.0
CHEK1	1	AURKB	-1.0
CSNK2A1	1	NFKB1	1.0
CSNK2A1	-1	SP1	-1.0
CSNK2A1	1	SRF	1.0
EPAS1	1	BHLHE40	1.0
ETS2	1	NR2F2	-1.0
FLI1	-1	HOXA10	-1.0
HHEX	1	CSNK2A2	1.0
HIC1	1	SIRT1	-1.0
HOXA10	1	CDK1	-1.0
HOXA10	-1	KLF9	1.0
JUN	1	FOSL2	1.0000000000000002
MAPK1	1	CSNK2A1	1.0
MAPK1	1	E2F1	1.0
MAPK1	1	EGR1	1.0
MAPK1	1	EPAS1	1.0
MAPK1	1	MAPKAPK2	1.0
MAPK1	1	NR4A1	1.0
MAPK1	1	RARA	1.0
MAPK1	-1	ROCK1	-1.0
MAPK1	-1	ROCK2	-1.0
MAPK1	1	RPS6KA1	1.0000000000000002
MAPK1	1	RPS6KA3	1.0
MAPK1	1	RPS6KB1	1.0
MAPK1	1	SMAD4	1.0
MAPK1	1	STAT2	1.0
NFKB1	1	APEX1	1.0
NFKB1	1	ATF6	1.0
NFKB1	1	KMT2A	1.0
NFKB1	1	PRKG1	1.0
NR4A1	1	AKT1	1.0
PPP2CB	-1	AKT3	1.0000000000000002
PRKCZ	-1	YAP1	1.0000000000000002
SIRT1	1	GLI1	-1.0
SIRT1	-1	PAX6	1.0
SP1	1	ETS2	-1.0
SP1	1	KLF4	-1.0
SP1	1	PRKCZ	-1.0
SP1	1	STAT4	-1.0
SP1	1	TFAP2A	-1.0
SP1	1	TGFBR2	-1.0
SP1	1	ZBTB7A	-1.0
TGFB1	1	AR	1.0
TGFB1	1	CDKN1A	1.0
TGFB1	1	FLI1	1.0
TGFB1	1	MAPK1	1.0
TGFB1	1	SMAD5	1.0
TGFBR2	1	PPP2CB	-1.0
TGFBR2	1	UHMK1	-1.0
TP53	1	ATF3	-1.0
TP53	1	HIC1	-1.0
TP53	1	PLK3	-1.0
UBE2I	1	FOXL2	1.0
YAP1	1	SMAD1	1.0
YAP1	1	TEAD4	1.0
